(16.9413388345707, 56.2263298034668)
(16.9420673897798, 56.2238845825195)
(16.9433336448684, 56.2219352722168)
(16.9441123017298, 56.2211456298828)
(16.9456739946032, 56.2200469970703)
(16.9458646547434, 56.2199440002441)
(16.9497594393524, 56.2190017700195)
(16.9322592792414, 56.2099990844727)
(16.9322599140521, 56.2099990844727)
(16.9322592792414, 56.2190017700195)
(16.9322599140521, 56.2849998474121)
(16.9322599140521, 56.2849998474121)
(16.9322599140521, 56.2190017700195)
(16.949760304844, 56.2190017700195)
(17.0072593881034, 56.2190017700195)
(17.0072593881034, 56.2099990844727)
(17.0072592051158, 56.2099990844727)
(16.9412602271759, 56.2849998474121)
(16.9412587745671, 56.2849998474121)
(16.9412602271759, 56.2275009155273)
(16.9412587745671, 56.2275009155273)
(16.949760029065, 56.2190017700195)
(17.0072592051158, 56.2190017700195)
(16.941580248576, 56.2251853942871)
(16.9419717155428, 56.2240943908691)
(16.9487030682545, 56.219066619873)
(16.9476603528344, 56.2192611694336)
(16.9466473059354, 56.2195892333984)
(16.9447558419683, 56.220630645752)
(16.9439094489018, 56.2213325500488)
(16.9431538280087, 56.2221527099609)
(16.942499578951, 56.2230758666992)
(16.9413532459147, 56.2262382507324)
(16.9416293015264, 56.2250213623047)
(16.9426435058391, 56.2228507995605)
(16.9449629730986, 56.2204818725586)
(16.9468068445487, 56.2195281982422)
(16.9477760397942, 56.2192344665527)
(16.9487632386666, 56.2190589904785)
